protocolVersion,userAgent,Height,Latitude,Longitude,ASN,Continent,organizationName
70015,Satoshi:0.18.1,658416,40.8364,-74.1403,AS14061,North America,DIGITALOCEAN-ASN
70015,Satoshi:0.20.1,658416,51.5164,-0.09300000000000001,AS16276,Europe,OVH SAS
70015,Satoshi:0.20.1,658416,42.3996,-71.1246,AS6079,North America,RCN-AS
70015,Satoshi:0.20.0,658416,51.2993,9.491,AS24940,Europe,Hetzner Online GmbH
70015,Satoshi:0.18.0,658416,51.9934,4.2158,AS49981,Europe,WorldStream B.V.
70015,Satoshi:0.20.0,658416,45.5225,-73.6372,AS6280,North America,SYNAPSE
70015,Satoshi:0.16.3,658416,34.7725,113.7266,AS37963,Asia,Hangzhou Alibaba
70015,Satoshi:0.20.1,658416,53.3331,-6.2489,AS15502,Europe,Vodafone Ireland Limited
70015,Others,658416,37.5112,126.9741,AS135354,Asia,NAVER BUSINESS PLATFORM ASIA PACIFIC PTE. LTD.
70015,Satoshi:0.20.1,658416,52.0184,4.3586,AS1136,Europe,KPN B.V.
70015,Satoshi:0.18.0,658416,51.2993,9.491,AS24940,Europe,Hetzner Online GmbH
70015,Others,658416,32.8608,-79.9746,AS15169,North America,GOOGLE
70015,Satoshi:0.18.1,658416,2.7486,101.9435,AS45839,Asia,Shinjiru Technology Sdn Bhd
70015,Satoshi:0.20.1,658416,35.685,139.7514,AS16509,Asia,AMAZON
70015,Satoshi:0.18.0,582624,0.0,0.0,,TOR,Unknown Organization
70015,Satoshi:0.20.1,658416,38.6759,-77.3157,AS701,North America,UUNET
70015,Satoshi:0.20.1,658416,0.0,0.0,TOR,TOR,Tor network
70015,Satoshi:0.18.0,658416,32.9758,-80.1869,AS7018,North America,ATT-INTERNET4
70015,Satoshi:0.16.3,658416,37.4562,126.7288,AS16509,Asia,AMAZON
70015,Satoshi:0.18.1,658416,34.7725,113.7266,AS45102,Asia,"Alibaba (US) Technology Co., Ltd."
70015,Satoshi:0.18.0,451,41.2619,-95.8608,AS15169,North America,GOOGLE
70015,Satoshi:0.20.1,658415,59.3333,18.05,AS16509,Europe,AMAZON
70015,Satoshi:0.18.1,658416,1.3667,103.8,AS136907,Asia,HUAWEI CLOUDS
70015,Satoshi:0.20.1,658416,52.3996,4.6537,AS3265,Europe,Xs4all Internet BV
70015,Satoshi:0.20.1,658413,25.0478,121.5318,AS15169,Asia,GOOGLE
70015,Satoshi:0.19.0.1,658416,-33.8591,151.2002,AS1221,Australia,Telstra Corporation Ltd
70015,Satoshi:0.20.0,658416,48.8582,2.3387,AS16276,Europe,OVH SAS
70015,Satoshi:0.18.1,658416,22.25,114.1667,AS45753,Asia,NETSEC
70015,Satoshi:0.18.1,658416,51.5164,-0.09300000000000001,AS16276,Europe,OVH SAS
70015,Satoshi:0.18.0,658416,1.3373,103.7696,AS24482,Asia,SG.GS
70015,Satoshi:0.20.1,658416,51.2993,9.491,AS24940,Europe,Hetzner Online GmbH
70015,Satoshi:0.20.0,658416,40.793,-74.0247,AS14061,North America,DIGITALOCEAN-ASN
70015,Satoshi:0.20.1,658416,60.1719,24.9347,AS24940,Europe,Hetzner Online GmbH
70015,Satoshi:0.20.1,658414,34.6851,135.5136,AS15169,Asia,GOOGLE
70015,Satoshi:0.20.1,658415,1.2929,103.8547,AS16509,Asia,AMAZON
70015,Satoshi:0.18.0,658416,19.3075,-98.2464,AS8151,North America,Uninet S.A. de C.V.
70015,Satoshi:0.20.1,658415,26.0333,50.55,AS16509,Asia,AMAZON
70015,Satoshi:0.18.0,658416,0.0,0.0,,TOR,Unknown Organization
70015,Satoshi:0.20.1,658416,56.8825,23.9364,AS12578,Europe,SIA Tet
70015,Satoshi:0.20.1,658416,45.4643,9.1895,AS16509,Europe,AMAZON
70015,Satoshi:0.17.1,658416,51.5164,-0.09300000000000001,AS63949,Europe,"Linode, LLC"
70015,Satoshi:0.19.1,658416,48.8582,2.3387,AS16276,Europe,OVH SAS
70015,Satoshi:0.17.1,658416,52.3824,4.8995,AS49981,Europe,WorldStream B.V.
70015,Satoshi:0.20.1,658416,52.3367,4.9655,AS6830,Europe,Liberty Global B.V.
70015,Satoshi:0.19.1,658416,45.9968,24.997,AS51177,Europe,THC Projects SRL
70015,Satoshi:0.19.1,658416,65.0779,25.4778,AS1759,Europe,Telia Finland Oyj
70015,Satoshi:0.19.1,658416,43.8564,25.9708,AS34569,Europe,Networx-Bulgaria Ltd.
70015,Satoshi:0.20.1,658416,35.685,139.7514,AS16509,Asia,AMAZON
70015,Satoshi:0.20.1,658416,48.8579,2.3491,AS12322,Europe,Free SAS
70015,Satoshi:0.18.1,658416,60.1719,24.9347,AS24940,Europe,Hetzner Online GmbH
70015,Satoshi:0.19.0.1,658416,52.0508,4.3429,AS33915,Europe,Vodafone Libertel B.V.
70015,Satoshi:0.20.1,658416,48.7139,21.2581,AS42841,Europe,ANTIK Telecom s.r.o
70015,Satoshi:0.19.1,658416,40.025999999999996,9.0949,AS3269,Europe,Telecom Italia
70015,Satoshi:0.18.0,658416,39.018,-77.539,AS39572,North America,DataWeb Global Group B.V.
70015,Satoshi:0.20.1,658415,38.8939,-77.0365,AS15169,North America,GOOGLE
70015,Satoshi:0.18.0,658416,37.751,-97.822,AS55,North America,UPENN
70015,Satoshi:0.20.1,658416,55.7386,37.6068,AS49505,Europe,OOO Network of data-centers Selectel
70015,Others,658416,34.7725,113.7266,AS37963,Asia,Hangzhou Alibaba
70015,Satoshi:0.20.0,658416,41.038999999999994,-81.7381,AS20009,North America,WADSNET
70015,Satoshi:0.18.1,658416,1.3667,103.8,AS64050,Asia,BGPNET Global ASN
70015,Satoshi:0.18.0,658416,37.751,-97.822,AS32097,North America,WII
70015,Others,658416,36.9242,14.7233,AS3269,Europe,Telecom Italia
70015,Satoshi:0.18.0,658416,51.2993,9.491,AS8560,Europe,1&1 Ionos Se
70015,Satoshi:0.20.1,658415,43.6547,-79.3623,AS14061,North America,DIGITALOCEAN-ASN
70015,Satoshi:0.19.1,658416,0.0,0.0,,TOR,Unknown Organization
70015,Satoshi:0.20.1,658416,35.685,139.7514,AS15169,Asia,GOOGLE
70015,Satoshi:0.20.1,658415,0.0,0.0,,TOR,Unknown Organization
70015,Satoshi:0.20.1,658416,0.0,0.0,,TOR,Unknown Organization
70015,Satoshi:0.18.1,658416,1.2929,103.8547,AS16509,Asia,AMAZON
70015,Satoshi:0.20.1,658416,51.5164,-0.09300000000000001,AS15169,Europe,GOOGLE
70015,Satoshi:0.20.1,658416,45.4643,9.1895,AS16509,Europe,AMAZON
70015,Others,658416,36.0588,-115.3104,AS22773,North America,ASN-CXA-ALL-CCI-22773-RDC
70015,Satoshi:0.20.0,658416,48.5855,7.7418,AS8972,Europe,Host Europe GmbH
70015,Satoshi:0.20.1,658416,22.25,114.1667,AS133115,Asia,HK Kwaifong Group Limited
70015,Satoshi:0.20.1,658415,51.5177,-0.6215,AS14061,Europe,DIGITALOCEAN-ASN
70015,Satoshi:0.20.0,658416,0.0,0.0,,TOR,Unknown Organization
70015,Others,658416,53.5677,-2.0108,AS3223,Europe,Voxility LLP
70015,Satoshi:0.20.1,658415,-6.1741,106.8296,AS139190,Asia,GOOGLE
70015,Satoshi:0.18.0,658416,51.2993,9.491,AS24940,Europe,Hetzner Online GmbH
70015,Satoshi:0.20.1,658416,34.7725,113.7266,AS37963,Asia,Hangzhou Alibaba
70015,Satoshi:0.20.1,658416,48.8582,2.3387,AS16276,Europe,OVH SAS
70015,Others,658416,37.4562,126.7288,AS16509,Asia,AMAZON
70015,Others,658416,51.2993,9.491,AS24940,Europe,Hetzner Online GmbH
70015,Satoshi:0.20.1,658416,55.7386,37.6068,AS49505,Europe,OOO Network of data-centers Selectel
70015,Satoshi:0.18.1,658416,33.8697,-118.3693,AS18978,North America,ENZUINC
70015,Satoshi:0.20.1,658415,45.4995,-73.5848,AS16509,North America,AMAZON
70015,Satoshi:0.18.0,658416,49.405,11.1617,AS51167,Europe,Contabo GmbH
70015,Satoshi:0.20.1,658416,48.8607,2.3281,AS12876,Europe,Online S.a.s.
70015,Satoshi:0.20.1,658415,51.5177,-0.6215,AS14061,Europe,DIGITALOCEAN-ASN
70015,Satoshi:0.19.1,658416,45.5452,6.3054,AS3215,Europe,Orange
70015,Satoshi:0.20.1,658416,33.61,-117.7253,AS11668,North America,WCI-NET
70016,Satoshi:1.3.4,454946,19.0748,72.8856,AS63949,Asia,"Linode, LLC"
70015,Satoshi:0.18.0,658416,49.405,11.1617,AS51167,Europe,Contabo GmbH
70015,Satoshi:0.20.1,658415,1.2929,103.8547,AS15169,Asia,GOOGLE
70015,Satoshi:0.19.0.1,658416,45.4995,-73.5848,AS16509,North America,AMAZON
70015,Satoshi:0.20.1,658416,37.751,-97.822,AS23470,North America,RELIABLESITE
70015,Satoshi:0.18.1,658416,22.25,114.1667,AS45102,Asia,"Alibaba (US) Technology Co., Ltd."
70015,Satoshi:0.20.1,658415,19.0748,72.8856,AS16509,Asia,AMAZON
70015,Satoshi:0.18.1,658416,34.7725,113.7266,AS37963,Asia,Hangzhou Alibaba
70015,Satoshi:0.19.0.1,658416,48.5855,7.7418,AS8972,Europe,Host Europe GmbH
70015,Satoshi:0.19.0.1,658416,-36.3581,146.3111,AS7545,Australia,TPG Telecom Limited
70015,Satoshi:0.20.1,658416,49.405,11.1617,AS51167,Europe,Contabo GmbH
70015,Satoshi:0.20.0,658416,22.25,114.1667,AS16509,Asia,AMAZON
70015,Satoshi:0.18.1,658416,22.25,114.1667,AS45102,Asia,"Alibaba (US) Technology Co., Ltd."
70015,Satoshi:0.16.3,658416,51.3239,12.338,AS3209,Europe,Vodafone GmbH
70015,Satoshi:0.20.1,658416,45.4643,9.1895,AS16509,Europe,AMAZON
70015,Satoshi:0.19.0.1,658416,37.751,-97.822,AS7247,North America,MOJO
70015,Satoshi:0.16.3,658416,49.405,11.1617,AS51167,Europe,Contabo GmbH
70015,Satoshi:0.18.1,658416,35.685,139.7514,AS16509,Asia,AMAZON
70015,Satoshi:0.20.1,658416,-23.5475,-46.6361,AS15169,South America,GOOGLE
70016,Satoshi:1.3.4,454940,37.5625,-122.0004,AS63949,North America,"Linode, LLC"
70015,Satoshi:0.20.1,658415,40.7592,-111.8875,AS15169,North America,GOOGLE
70015,Satoshi:0.20.1,658416,40.8364,-74.1403,AS14061,North America,DIGITALOCEAN-ASN
70015,Satoshi:0.18.0,658416,60.1719,24.9347,AS24940,Europe,Hetzner Online GmbH
70015,Satoshi:0.20.1,658416,52.2998,9.447000000000001,AS24940,Europe,Hetzner Online GmbH
70015,Satoshi:0.20.1,658416,54.3333,10.1333,AS3209,Europe,Vodafone GmbH
70015,Others,658416,51.2993,9.491,AS24940,Europe,Hetzner Online GmbH
70015,Satoshi:0.20.0,658416,58.9608,5.7546,AS29695,Europe,Altibox AS
70015,Satoshi:0.20.1,658416,43.6547,-79.3623,AS14061,North America,DIGITALOCEAN-ASN
70015,Satoshi:0.18.0,658416,45.5819,9.2683,AS1267,Europe,Wind Tre S.p.A.
70015,Satoshi:0.19.0.1,658416,58.3386,8.5953,AS41164,Europe,Telia Norge AS
70015,Satoshi:0.20.1,658415,37.3388,-121.8914,AS16509,North America,AMAZON
70015,Satoshi:0.20.1,528365,51.4964,-0.1224,AS20860,Europe,Iomart Cloud Services Limited
70015,Satoshi:0.18.1,658416,48.8582,2.3387,AS12876,Europe,Online S.a.s.
70015,Satoshi:0.20.1,658416,32.0678,34.7647,AS47956,Asia,XFone 018 Ltd
70015,Satoshi:0.20.0,658416,59.9321,30.1968,AS43317,Europe,Fishnet Communications LLC
70015,Satoshi:0.20.1,658415,51.5164,-0.09300000000000001,AS16509,Europe,AMAZON
70015,Satoshi:0.20.1,658416,51.2993,9.491,AS31078,Europe,Alexej Senderkin
70015,Satoshi:0.20.1,658415,19.0748,72.8856,AS16509,Asia,AMAZON
70015,Satoshi:0.20.1,658415,34.7725,113.7266,AS16509,Asia,AMAZON
70012,Others,316608,27.7172,109.1853,AS37963,Asia,Hangzhou Alibaba
70015,Satoshi:0.20.1,658416,32.9511,-117.2241,AS20001,North America,TWC-20001-PACWEST
70015,Satoshi:0.19.0.1,658416,49.405,11.1617,AS51167,Europe,Contabo GmbH
70015,Satoshi:0.20.0,658416,41.7523,-88.0541,AS7922,North America,COMCAST-7922
70015,Satoshi:0.20.1,658413,25.0478,121.5318,AS15169,Asia,GOOGLE
70015,Satoshi:0.20.0,658416,39.03,-84.559,AS6181,North America,FUSE-NET
70015,Satoshi:0.16.3,658416,37.751,-97.822,AS45102,North America,"Alibaba (US) Technology Co., Ltd."
70015,Satoshi:0.20.1,658416,49.405,11.1617,AS51167,Europe,Contabo GmbH
70015,Satoshi:0.19.1,658416,37.3424,126.9222,AS4766,Asia,Korea Telecom
70015,Satoshi:0.20.1,658415,26.0333,50.55,AS16509,Asia,AMAZON
70016,Satoshi:1.3.4,454937,32.9473,-96.7028,AS63949,North America,"Linode, LLC"
70015,Satoshi:0.20.1,658416,50.7688,6.0758,AS24940,Europe,Hetzner Online GmbH
70015,Satoshi:0.16.3,658416,34.7725,113.7266,AS37963,Asia,Hangzhou Alibaba
70015,Satoshi:0.20.1,658415,26.0333,50.55,AS16509,Asia,AMAZON
70015,Satoshi:0.19.1,658416,37.751,-97.822,AS40470,North America,PROTECTED
70015,Satoshi:0.20.0,658416,50.6653,4.5668,AS5432,Europe,Proximus NV
70016,Satoshi:1.3.4,454937,51.5164,-0.09300000000000001,AS63949,Europe,"Linode, LLC"
70015,Satoshi:0.20.1,658415,37.751,-97.822,AS14618,North America,AMAZON
70015,Satoshi:0.18.0,658416,52.0967,5.1137,AS50266,Europe,T-Mobile Thuis BV
70015,Satoshi:0.20.0,658416,51.2993,9.491,AS24940,Europe,Hetzner Online GmbH
70015,Satoshi:0.20.1,658416,51.45,-0.2833,AS206067,Europe,Three
70015,Satoshi:0.18.1,658416,37.751,-97.822,AS45102,North America,"Alibaba (US) Technology Co., Ltd."
70015,Satoshi:0.18.1,658416,22.25,114.1667,AS133041,Asia,"Tianxin Group Co., Limited"
70015,Others,658416,40.793,-74.0247,AS14061,North America,DIGITALOCEAN-ASN
70015,Satoshi:0.20.1,658416,25.0478,121.5318,AS15169,Asia,GOOGLE
70016,Satoshi:1.3.4,454935,19.0748,72.8856,AS63949,Asia,"Linode, LLC"
70015,Others,658416,49.405,11.1617,AS51167,Europe,Contabo GmbH
70015,Satoshi:0.20.1,658416,37.5985,126.9783,AS9569,Asia,"SEOCHO CABLE SYSTEMS CO., LTD."
70015,Satoshi:0.20.1,658416,52.4136,10.3957,AS197540,Europe,netcup GmbH
70015,Others,658416,40.6753,-74.2275,AS701,North America,UUNET
70015,Satoshi:0.20.1,658416,32.9473,-96.7028,AS63949,North America,"Linode, LLC"
70015,Satoshi:0.18.0,658416,40.793,-74.0247,AS14061,North America,DIGITALOCEAN-ASN
70015,Satoshi:0.20.1,658415,0.0,0.0,,TOR,Unknown Organization
70015,Satoshi:0.20.1,658416,45.6448,-73.8452,AS5769,North America,VIDEOTRON
70015,Satoshi:0.18.0,658416,37.751,-97.822,AS45102,North America,"Alibaba (US) Technology Co., Ltd."
70015,Satoshi:0.20.1,658416,43.8839,-78.8774,AS577,North America,BACOM
70015,Others,658416,49.405,11.1617,AS51167,Europe,Contabo GmbH
70015,Satoshi:0.18.1,658416,34.7725,113.7266,AS37963,Asia,Hangzhou Alibaba
70015,Satoshi:0.20.1,658416,34.7725,113.7266,AS37963,Asia,Hangzhou Alibaba
70015,Satoshi:0.20.1,658416,43.6319,-79.3716,AS16276,North America,OVH SAS
70012,Others,658416,34.7725,113.7266,AS4134,Asia,Chinanet
70015,Satoshi:0.20.0,658416,32.8954,-105.948,AS4181,North America,TDS-AS
70015,Satoshi:0.18.0,658416,0.0,0.0,,TOR,Unknown Organization
70015,Satoshi:0.19.1,658416,50.1188,8.6843,AS14061,Europe,DIGITALOCEAN-ASN
70015,Satoshi:0.18.0,658416,37.4183,126.7184,AS9318,Asia,SK Broadband Co Ltd
70015,Satoshi:0.19.1,658416,40.8108,-73.3667,AS6128,North America,CABLE-NET-1
70015,Satoshi:0.18.0,658416,45.8122,-66.6784,AS855,North America,CANET-ASN-4
70015,Satoshi:0.20.0,658416,49.405,11.1617,AS51167,Europe,Contabo GmbH
70015,Satoshi:0.20.1,658415,45.8491,-119.7143,AS16509,North America,AMAZON
70015,Satoshi:0.20.1,658416,49.405,11.1617,AS51167,Europe,Contabo GmbH
70015,Satoshi:0.16.3,658416,37.3417,-121.9753,AS14061,North America,DIGITALOCEAN-ASN
70016,Others,1171322,0.0,0.0,,TOR,Unknown Organization
70015,Others,658416,51.2993,9.491,AS24940,Europe,Hetzner Online GmbH
70015,Satoshi:0.20.1,658415,39.9653,-83.0235,AS16509,North America,AMAZON
70015,Satoshi:0.17.1,658416,22.25,114.1667,AS45753,Asia,NETSEC
70015,Satoshi:0.19.0.1,658416,51.9934,4.2158,AS49981,Europe,WorldStream B.V.
70015,Satoshi:0.20.1,658415,37.5985,126.9783,AS139070,Asia,GOOGLE
70015,Satoshi:0.18.0,658416,34.6168,137.107,AS18126,Asia,"Chubu Telecommunications Company, Inc."
70001,Others,500133,43.5419,-79.6164,AS812,North America,ROGERS-COMMUNICATIONS
70015,Satoshi:0.20.1,658416,37.7558,-121.9527,AS7922,North America,COMCAST-7922
70015,Satoshi:0.20.0,658416,-16.8768,145.7316,AS1221,Australia,Telstra Corporation Ltd
70015,Satoshi:0.18.1,658416,1.3667,103.8,AS45102,Asia,"Alibaba (US) Technology Co., Ltd."
70015,Satoshi:0.18.0,658416,41.2619,-95.8608,AS15169,North America,GOOGLE
70015,Satoshi:0.18.0,658416,39.9653,-83.0235,AS16509,North America,AMAZON
70015,Satoshi:0.20.0,658416,51.5518,-0.1345,AS5089,Europe,Virgin Media Limited
70015,Satoshi:0.20.0,658416,48.5855,7.7418,AS8972,Europe,Host Europe GmbH
70015,Satoshi:0.20.1,658416,48.3074,14.285,AS12605,Europe,LIWEST Kabelmedien GmbH
70015,Satoshi:0.20.0,658416,48.4735,35.046,AS13188,Europe,Content Delivery Network Ltd
70015,Satoshi:0.18.1,658416,42.69600000000001,23.331999999999997,AS203380,Europe,DA International Group Ltd.
70015,Satoshi:0.20.1,658416,65.5842,22.1546,AS8473,Europe,Bahnhof AB
70015,Satoshi:0.17.1,658416,52.3824,4.8995,AS43350,Europe,NForce Entertainment B.V.
70015,Others,658416,51.2993,9.491,AS24940,Europe,Hetzner Online GmbH
70012,Others,658416,50.1188,8.6843,AS14061,Europe,DIGITALOCEAN-ASN
70015,Satoshi:0.19.1,658416,22.25,114.1667,AS133115,Asia,HK Kwaifong Group Limited
70015,Satoshi:0.20.1,658416,51.7657,-1.2797,AS6871,Europe,British Telecommunications PLC
70015,Satoshi:0.18.0,658416,35.685,139.7514,AS15169,Asia,GOOGLE
70015,Satoshi:0.18.1,658416,48.9736,-122.209,AS23175,North America,POGOZONE
70016,Satoshi:1.3.4,454938,37.5625,-122.0004,AS63949,North America,"Linode, LLC"
70015,Satoshi:0.20.1,658415,12.9719,77.5937,AS14061,Asia,DIGITALOCEAN-ASN
70015,Satoshi:0.19.1,658416,1.2929,103.8547,AS63949,Asia,"Linode, LLC"
70015,Satoshi:0.19.1,658416,59.1955,17.6253,AS8473,Europe,Bahnhof AB
70015,Satoshi:0.16.3,658416,48.8582,2.3387,AS16276,Europe,OVH SAS
70015,Satoshi:0.18.0,658416,0.0,0.0,,TOR,Unknown Organization
70015,Satoshi:0.19.1,658416,32.8608,-79.9746,AS15169,North America,GOOGLE
70015,Satoshi:0.19.0.1,640271,46.7667,23.6,AS8708,Europe,RCS & RDS
70015,Satoshi:0.20.1,658416,51.5164,-0.09300000000000001,AS13213,Europe,UK-2 Limited
70015,Satoshi:0.20.0,658416,51.8047,5.7247,AS1136,Europe,KPN B.V.
70015,Satoshi:0.20.1,658416,59.433,24.7323,AS3249,Europe,Telia Eesti AS
70015,Satoshi:0.18.0,658416,59.8944,30.2642,AS41733,Europe,Perspectiva Ltd.
70015,Satoshi:0.20.0,658416,51.2993,9.491,AS24940,Europe,Hetzner Online GmbH
70015,Others,658416,60.1719,24.9347,AS24940,Europe,Hetzner Online GmbH
70015,Satoshi:0.20.1,658416,51.5164,-0.09300000000000001,AS15169,Europe,GOOGLE
70015,Satoshi:0.20.1,658416,0.0,0.0,,TOR,Unknown Organization
70015,Satoshi:0.20.1,658416,0.0,0.0,,TOR,Unknown Organization
70015,Satoshi:0.20.0,658416,51.2993,9.491,AS24940,Europe,Hetzner Online GmbH
70015,Others,658416,48.8582,2.3387,AS16276,Europe,OVH SAS
70015,Satoshi:0.20.0,658416,37.3931,-121.962,AS14061,North America,DIGITALOCEAN-ASN
70015,Others,658416,52.3824,4.8995,AS49981,Europe,WorldStream B.V.
70015,Satoshi:0.20.1,658415,-33.9258,18.4232,AS16509,Africa,AMAZON
70015,Satoshi:0.18.1,658416,48.8582,2.3387,AS16276,Europe,OVH SAS
70015,Satoshi:0.20.1,658416,55.6647,12.4071,AS197288,Europe,Telia Stofa A/S
70015,Satoshi:0.20.1,658416,41.2619,-95.8608,AS15169,North America,GOOGLE
70015,Others,729735,39.9288,116.3889,AS58593,Asia,"Shanghai Blue Cloud Technology Co.,Ltd"
70015,Satoshi:0.16.3,658416,55.7386,37.6068,AS39741,Europe,data-centr ekaterinburg OOO
